nodes,pv_ratio,rx,mode,variant,grund
120,0.1,10.0,const_x,coupled,error
120,0.1,10.0,const_x,decoupled,error
120,0.1,10.0,const_x,exact,error
120,0.25,10.0,const_x,coupled,error
120,0.25,10.0,const_x,decoupled,error
120,0.25,10.0,const_x,exact,error
120,0.5,10.0,const_x,coupled,error
120,0.5,10.0,const_x,decoupled,error
120,0.5,10.0,const_x,exact,error
350,0.1,3.1623,const_x,coupled,error
350,0.1,4.6416,const_x,coupled,error
350,0.1,6.8129,const_x,coupled,error
350,0.1,10.0,const_x,coupled,error
350,0.1,3.1623,const_x,decoupled,error
350,0.1,4.6416,const_x,decoupled,error
350,0.1,6.8129,const_x,decoupled,error
350,0.1,10.0,const_x,decoupled,error
350,0.1,3.1623,const_x,exact,error
350,0.1,4.6416,const_x,exact,error
350,0.1,6.8129,const_x,exact,error
350,0.1,10.0,const_x,exact,error
350,0.25,3.1623,const_x,coupled,error
350,0.25,4.6416,const_x,coupled,error
350,0.25,6.8129,const_x,coupled,error
350,0.25,10.0,const_x,coupled,error
350,0.25,3.1623,const_x,decoupled,error
350,0.25,4.6416,const_x,decoupled,error
350,0.25,6.8129,const_x,decoupled,error
350,0.25,10.0,const_x,decoupled,error
350,0.25,3.1623,const_x,exact,error
350,0.25,4.6416,const_x,exact,error
350,0.25,6.8129,const_x,exact,error
350,0.25,10.0,const_x,exact,error
350,0.5,3.1623,const_x,coupled,error
350,0.5,4.6416,const_x,coupled,error
350,0.5,6.8129,const_x,coupled,error
350,0.5,10.0,const_x,coupled,error
350,0.5,3.1623,const_x,decoupled,error
350,0.5,4.6416,const_x,decoupled,error
350,0.5,6.8129,const_x,decoupled,error
350,0.5,10.0,const_x,decoupled,error
350,0.5,3.1623,const_x,exact,error
350,0.5,4.6416,const_x,exact,error
350,0.5,6.8129,const_x,exact,error
350,0.5,10.0,const_x,exact,error
