"Gr\""o\ss e",$\rho_{\mathrm{S}}$ zu $k_{\mathrm{out}}$,$\rho_{\mathrm{S}}$ zu $k_{\mathrm{in}}$
Linearisierungsfehler (Median),0.8992957532168593,0.8923721039221254
Linearisierungsfehler (Max.),0.8983698470499014,0.8848632675087913
$\rho=R/X$,0.5371914329410992,0.5106687979963436
$\max_k\lvert Q_k\rvert$,0.34958526189397654,0.24851046377682598
$v_{\min}$,-0.32906470751591865,-0.5934084168700533
$\rho_{\mathrm{J}}$,-0.23985110113670727,-0.08948822324774282
$\mathrm{cond}(\vect{X}_{pp})$,-0.23868271474351996,-0.08664592001833053
$n_\mathrm{pv}$,-0.19006866863088132,0.03787122255153074
$\eta$,0.154967767164605,0.44683372612231936
$n$,-0.06777160453157735,0.22208699849780403
