n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min
40,0.2,1.0,0.001734603218488682,0.013876825747909455,True,6,3,4.311275845691052,0.005431087611949983,0.999846399998894,0.006611981576165632,0.005417512423931545,0.006599883876066144,0.005362578379253357,0.9941354650450985,592.9921410218834
40,0.47692307692307695,1.0,0.001734603218488682,0.03309089216809178,True,7,4,5.361474828679074,0.012831136460313522,0.9998918274294462,0.016031325489077455,0.013106050388782764,0.015960529540278268,0.012787686904373388,0.9859067486995393,248.67412365433816
40,0.7538461538461538,1.0,0.001734603218488682,0.0523049585882741,True,8,4,6.166942467845423,0.021046461585248175,0.9998973534022662,0.02577511082178998,0.021023826833252227,0.025592953835472804,0.020212795429493422,0.9775466186769388,157.32444557723437
40,1.0307692307692309,1.0,0.001734603218488682,0.07151902500845643,True,8,4,6.80812827010282,0.02892093990649739,0.9999191612512225,0.03586434736474278,0.02918476871770978,0.03551336293908003,0.027637903954613435,0.9690487901297057,115.05817661618632
40,1.3076923076923077,1.0,0.001734603218488682,0.09073309142863875,True,9,5,7.404453027101584,0.03726045912697677,0.9999057378312685,0.04632209553791959,0.037604109727874084,0.045739463774624206,0.03506301247973348,0.9604064593807478,90.69291568569982
40,1.5846153846153845,1.0,0.001734603218488682,0.10994715784882106,True,9,5,7.990944227586778,0.04631620631969306,0.9999154412500342,0.05717373981342853,0.046298559885908426,0.0562906568839948,0.0424881210048535,0.951612241873935,74.84366828431538
40,1.8615384615384616,1.0,0.001734603218488682,0.1291612242690034,True,10,5,8.535551752781075,0.05530048658464728,0.9999040787264547,0.06844730917530178,0.05528650377564916,0.06718826158348401,0.04991322952997357,0.9426581002407058,63.7098994486321
40,2.138461538461539,1.0,0.001734603218488682,0.14837529068918576,True,11,6,9.051377349023484,0.06423638796043829,0.999920118266497,0.080173854676963,0.06458823341198384,0.07845578016336327,0.05733833805509359,0.9335352604887417,55.45969664233441
40,2.4153846153846157,1.0,0.001734603218488682,0.16758935710936806,True,11,6,9.580035324499839,0.07380833672884608,0.9999107055612733,0.09238789676460675,0.07422622332941393,0.0901192096135075,0.06476344658021363,0.9242341138212742,49.101260084614545
40,2.6923076923076925,1.0,0.001734603218488682,0.1868034235295504,True,12,6,10.133177737016007,0.08419622132045683,0.9999184597768382,0.10512795844570774,0.08422545748120158,0.1022074116034481,0.07218855510533367,0.9147441009569945,44.05084476162562
40,2.9692307692307693,1.0,0.001734603218488682,0.2060174899497327,True,12,6,10.672912325542098,0.09456002623388378,0.9999092987406928,0.11843720488763643,0.09461382019815406,0.11475255440217808,0.07961366363045368,0.9050535749792153,39.94247582012686
40,3.2461538461538466,1.0,0.001734603218488682,0.22523155636991504,True,13,7,11.20644703180567,0.10497043115013267,0.9999206293538612,0.13236421604425228,0.10542256699471526,0.12779064435575035,0.08703877215557372,0.8951496376308673,36.535060821253474
40,3.5230769230769234,1.0,0.001734603218488682,0.24444562279009735,True,13,7,11.770829503316763,0.1161532487151089,0.9999120365269512,0.1469639270208327,0.11668689577326957,0.1413621698283121,0.09446388068069378,0.8850179424879594,33.66330931565277
40,3.8000000000000003,1.0,0.001734603218488682,0.26365968921027966,True,14,7,12.376399447344731,0.12828313562368474,0.9999171475987172,0.1622987819677306,0.12844664546822815,0.15551288770900976,0.10188898920581375,0.8746424564287988,31.21011268536228
40,4.0769230769230775,1.0,0.001734603218488682,0.282873755630462,True,14,7,12.98615422868493,0.14051961307896887,0.9999078839258665,0.17844016261966283,0.14074715812834157,0.17029479250637625,0.10931409773093378,0.8640051680625941,29.09018050296031
40,4.353846153846154,1.0,0.001734603218488682,0.30208782205064433,True,15,8,13.607871981183537,0.15297527590783253,0.9999161534135328,0.1954701741076249,0.15364035297652334,0.18576732192291995,0.1167392062560539,0.8530857279402749,27.23992167238333
40,4.630769230769231,1.0,0.001734603218488682,0.32130188847082664,True,16,8,14.300179008829094,0.1668265326805903,0.9999185076938734,0.2134839013199237,0.16718607881192535,0.20199887249350254,0.12416431478117387,0.8418609999633764,25.61095625675908
40,4.907692307692308,1.0,0.001734603218488682,0.34051595489100894,True,16,8,15.01457581068886,0.18098009327385242,0.9999086554907727,0.23259229352479036,0.18145383689935457,0.21906872731219712,0.13158942330629392,0.830304495624742,24.165823928791482
40,5.184615384615385,1.0,0.001734603218488682,0.35973002131119125,True,17,9,15.761568243344398,0.19558760586827054,0.9999138271883348,0.2529259005967953,0.19652500447138876,0.23706953971551212,0.13901453183141396,0.8183856513476185,22.875067754553363
40,5.461538461538462,1.0,0.001734603218488682,0.37894408773137356,True,18,9,16.602081359819852,0.21178531052513375,0.9999132811616087,0.274639783174788,0.21249574610607797,0.25611057965110945,0.14643964035653395,0.8060688922059092,21.715205164181647
40,5.7384615384615385,1.0,0.001734603218488682,0.398158154151556,True,19,9,17.49235958109618,0.22856712635293383,0.9999009776250712,0.2979200718898704,0.2294808882215688,0.2763220461137593,0.15386474888165402,0.793312399347241,20.667286416312287
40,6.015384615384616,1.0,0.001734603218488682,0.41737222057173834,True,20,10,18.45030577868545,0.24616178821844992,0.999902877827646,0.3229928929480142,0.24761917097166689,0.2978609015545429,0.16128985740677407,0.7800664577346857,19.715851236021695
40,6.292307692307693,1.0,0.001734603218488682,0.43658628699192065,True,21,10,19.54780755662313,0.2657265707262191,0.9998976561018331,0.3501367726278461,0.26708051818662254,0.3209189320966698,0.16871496593189417,0.7662711950556557,18.84816096157575
40,6.56923076923077,1.0,0.001734603218488682,0.45580035341210295,True,22,11,20.735007734774403,0.28610188463889413,0.9998955223793553,0.3797003007312302,0.28807634719217584,0.34573415423524345,0.17614007445701405,0.7518534127773501,18.053624902305582
40,6.846153846153847,1.0,0.001734603218488682,0.47501441983228526,True,23,12,22.118599873586593,0.30884341774685936,0.9998846914996706,0.41212800517131154,0.31087460785954,0.37260741745309606,0.18356518298213406,0.7367220194909397,17.32336591749322
40,7.1230769230769235,1.0,0.001734603218488682,0.49422848625246757,True,25,12,23.693914886105883,0.3334012640801489,0.9998853362125768,0.44799954475937054,0.3358224638806863,0.401927385791754,0.19099029150725413,0.7207612297657727,16.64988732890817
40,7.4,1.0,0.001734603218488682,0.5134425526726498,True,27,13,25.515914419986153,0.36008920680351897,0.999871315672653,0.48809151016233504,0.3633818975182122,0.4342096579007614,0.1984154000323742,0.7038200260438318,16.026814622213063
40,7.676923076923077,1.0,0.001734603218488682,0.5326566190928321,True,29,14,27.733632038423213,0.3902415575987186,0.9998588023365401,0.5334797944768687,0.3941884137662706,0.4701611002332073,0.2058405085574942,0.685695017365738,15.448693052674315
40,7.953846153846155,1.0,0.001734603218488682,0.5518706855130145,True,31,15,30.509187945130783,0.4246512745151876,0.999844027969178,0.5857199953303935,0.42915399263790277,0.5107923601473487,0.21326561708261424,0.6661007994037423,14.910827530530916
40,8.23076923076923,1.0,0.001734603218488682,0.5710847519331967,True,35,17,34.05582414786449,0.4638273999928125,0.9998175088294216,0.6471919609905388,0.46966272478407434,0.557631037353927,0.2206907256077343,0.6446144585318677,14.40915482856913
40,8.507692307692308,1.0,0.001734603218488682,0.5902988183533792,True,39,19,38.972078260669925,0.5106186832993115,0.999766613123317,0.721833959777683,0.5179854660589679,0.6131720603554888,0.22811583413285438,0.6205597721346273,13.940140747349881
40,8.784615384615384,1.0,0.001734603218488682,0.6095128847735614,True,46,22,46.47075562651291,0.5687448284573743,0.9996722863146441,0.8169777456589009,0.5783104017410395,0.6819930960034194,0.23554094265797446,0.5927241864969849,13.500696730795944
40,9.061538461538461,1.0,0.001734603218488682,0.6287269511937438,True,59,27,60.33422946512953,0.6471761004973959,0.9994878267181334,0.9493083886581959,0.6600692126160631,0.774340188651624,0.24296605118309433,0.5584620890225088,13.088111771280959
40,9.338461538461539,1.0,0.001734603218488682,0.6479410176139261,True,98,43,104.31968368560914,0.777295255696343,0.9987415235452559,1.1790922557100976,0.7968945716814512,0.9264610470188103,0.25039115970821446,0.5086981526853716,12.699996430452197
40,9.615384615384615,1.0,0.001734603218488682,0.6671550840341084,False,500,500,,1.0012546221814498,0.028854791139350633,0.3141661820374818,0.2578162682333344,0.31416618203748164,0.2578162682333344,,12.334236533255176
40,9.892307692307693,1.0,0.001734603218488682,0.6863691504542908,False,500,500,,1.000850724563984,0.0348001179957832,0.3232141680801613,0.2652413767584545,0.3232141680801612,0.2652413767584545,,11.988954639633722
40,10.169230769230769,1.0,0.001734603218488682,0.705583216874473,False,500,500,,1.000470738158128,0.018528602987351483,0.33226215412284066,0.27266648528357446,0.33226215412284055,0.27266648528357446,,11.662477811322974
120,0.2,1.0,0.0001531013985555237,0.0036744335653325693,True,6,3,4.307972552999169,0.005409185867988366,0.9998456084548655,0.006613177466801619,0.005399104780779316,0.006600698116171155,0.005343751884823087,0.9941346208494591,2090.1884785487614
120,0.47692307692307695,1.0,0.0001531013985555237,0.008762110809639203,True,7,4,5.3569780553574065,0.012783879241079123,0.9998917671890656,0.01603424120258175,0.013063600527800581,0.01596125863547201,0.012742792956116595,0.9859054142894059,876.530652294642
120,0.7538461538461538,1.0,0.0001531013985555237,0.013849788053945837,True,8,4,6.1615411810006355,0.02097473959499661,0.9998969637178535,0.025779781998031447,0.02095913504863024,0.025592122042626352,0.0201418340274101,0.977545612169403,554.5398004313041
120,1.0307692307692309,1.0,0.0001531013985555237,0.018937465298252472,True,8,4,6.802088872498906,0.028829344116399792,0.999919099419021,0.03587076021009288,0.02909978194541714,0.03550941537267294,0.02754087509870361,0.9690489646157224,405.5589585243866
120,1.3076923076923077,1.0,0.0001531013985555237,0.024025142542559105,True,9,5,7.397723499120585,0.03714822263369152,0.9999056602288731,0.046330178327863826,0.03750093638053234,0.04573076105679158,0.03493991616999713,0.9604087051480314,319.67588495451645
120,1.5846153846153845,1.0,0.0001531013985555237,0.029112819786865737,True,9,5,7.983742823037597,0.04618700249000849,0.9999151835385673,0.05718335296211053,0.0461794866593821,0.05627546936790426,0.042338957241290595,0.9516174887937537,263.8101963216884
120,1.8615384615384616,1.0,0.0001531013985555237,0.034200497031172374,True,10,5,8.52786892567528,0.05515529533384081,0.9999037631688853,0.0684582336014824,0.05515401476600002,0.067164763123428,0.04973799831258413,0.9426673203268588,224.56570430689175
120,2.138461538461539,1.0,0.0001531013985555237,0.03928817427547902,True,11,6,9.043514168350308,0.06408198760130568,0.9999200329624102,0.08018577813765512,0.06444503195469978,0.07842204140920733,0.05713703938387763,0.9335494706348396,195.4852533894525
120,2.4153846153846157,1.0,0.0001531013985555237,0.044375851519785646,True,11,6,9.571901122588864,0.07364368155639336,0.9999105851943104,0.09240039775524131,0.07407525706559978,0.09007319081511805,0.06453608045517113,0.9242543787188304,173.0729313448019
120,2.6923076923076925,1.0,0.0001531013985555237,0.049463528764092275,True,12,6,10.125005658137466,0.08402675500144777,0.9999181932754895,0.10514048717527426,0.08406994727399081,0.1021469549244435,0.07193512152646465,0.9147715361908875,155.27114412076514
120,2.9692307692307693,1.0,0.0001531013985555237,0.05455120600839891,True,12,6,10.664709242867355,0.0943870734738008,0.9999089662459194,0.11844906072387748,0.09445729367563685,0.11467537576482519,0.07933416259775818,0.9050893502877688,140.7898975188285
120,3.2461538461538466,1.0,0.0001531013985555237,0.05963888325270555,True,13,7,11.198544709252738,0.10480194595627924,0.9999204601988642,0.13237452068129166,0.10526889769534124,0.1276943248747151,0.0867332036690517,0.8951949803033982,128.77938493428388
120,3.5230769230769234,1.0,0.0001531013985555237,0.06472656049701218,True,13,7,11.763209101036283,0.11598963125908748,0.999911809883728,0.14697159244141292,0.11654034913323323,0.1412441469474715,0.09413224474034518,0.8850741408504706,118.65698786521354
120,3.8000000000000003,1.0,0.0001531013985555237,0.06981423774131881,True,14,7,12.369377278037094,0.12813184900627586,0.9999167778341618,0.1623024720440115,0.12831193324269197,0.15537044624386226,0.10153128581163864,0.8747108633346967,110.00991992361902
120,4.0769230769230775,1.0,0.0001531013985555237,0.07490191498562546,True,14,7,12.979819538568567,0.14038319750441913,0.9999074061122882,0.1784382469071613,0.14062950331605029,0.17012505593259697,0.10893032688293222,0.8640872042534004,102.53754800427886
120,4.353846153846154,1.0,0.0001531013985555237,0.07998959222993209,True,15,8,13.602685472539045,0.152863837018744,0.9999157985390206,0.195460672020066,0.1535455679750088,0.18556724446784223,0.11632936795422569,0.8531828850616034,96.01572516301731
120,4.630769230769231,1.0,0.0001531013985555237,0.08507726947423871,True,16,8,14.275363273759261,0.1663059612332562,0.9999060676235896,0.2134644144097328,0.1671206604513644,0.20176523292855922,0.1237284090255192,0.8419748428976559,90.27392100044484
120,4.907692307692308,1.0,0.0001531013985555237,0.09016494671854534,True,16,8,15.01247599542685,0.18093472301159458,0.9999079914926808,0.23255992301482076,0.18142508331694449,0.2187981258882184,0.1311274500968127,0.8304366636083144,85.18009473709688
120,5.184615384615385,1.0,0.0001531013985555237,0.09525262396285199,True,17,9,15.76179522539172,0.19559003935489802,0.9999132236943268,0.25287714659879984,0.19654116070204264,0.23675840056128133,0.13852649116810622,0.818537857031684,80.63041608645075
120,5.461538461538462,1.0,0.0001531013985555237,0.10034030120715862,True,18,9,16.605217791236544,0.2118451921010833,0.9999124799130626,0.2745704211936004,0.21256618811913078,0.25575516239810614,0.14592553223939975,0.8062429173229563,76.54211329896874
