n,pv_share,criterion,lam_star
40,0.0,base_fpi,9.490704345703126
40,0.0,eta_lt_1,9.475687408447266
40,0.0,nr_pq,9.490704345703126
40,0.1,tpf_methode_a,9.280467224121093
40,0.1,nr_pv,9.761009216308594
40,0.1,eps_lin_0.6,9.761009216308594
40,0.1,q_reserve,0.2
40,0.25,tpf_methode_a,9.220399475097654
40,0.25,nr_pv,9.730975341796874
40,0.25,eps_lin_0.6,9.730975341796874
40,0.25,q_reserve,0.2
40,0.5,tpf_methode_a,9.205382537841796
40,0.5,nr_pv,9.64087371826172
40,0.5,eps_lin_0.6,9.730975341796874
40,0.5,q_reserve,0.2
120,0.0,base_fpi,9.475687408447266
120,0.0,eta_lt_1,9.460670471191406
120,0.0,nr_pq,9.475687408447266
120,0.1,tpf_methode_a,9.205382537841796
120,0.1,nr_pv,5.215882873535156
120,0.1,eps_lin_0.6,9.715958404541015
120,0.1,q_reserve,0.2
120,0.25,tpf_methode_a,9.205382537841796
120,0.25,nr_pv,5.76650390625
120,0.25,eps_lin_0.6,9.715958404541015
120,0.25,q_reserve,0.2
120,0.5,tpf_methode_a,9.190365600585936
120,0.5,nr_pv,6.297102355957032
120,0.5,eps_lin_0.6,9.715958404541015
120,0.5,q_reserve,0.2
350,0.0,base_fpi,9.535755157470703
350,0.0,eta_lt_1,9.535755157470703
350,0.0,nr_pq,9.535755157470703
350,0.1,tpf_methode_a,9.295484161376953
350,0.1,nr_pv,4.51175537109375
350,0.1,eps_lin_0.6,9.776026153564453
350,0.1,q_reserve,0.2
350,0.25,tpf_methode_a,9.280467224121093
350,0.25,nr_pv,4.05791015625
350,0.25,eps_lin_0.6,9.776026153564453
350,0.25,q_reserve,0.2
350,0.5,tpf_methode_a,9.265450286865233
350,0.5,nr_pv,3.9511230468750003
350,0.5,eps_lin_0.6,9.776026153564453
350,0.5,q_reserve,0.2
