n,pv_share,omega,lam_star
40,0.1,1.0,9.280467224121093
40,0.1,0.8,9.520738220214845
40,0.1,0.6,9.670907592773437
40,0.1,0.4,9.730975341796874
40,0.25,1.0,9.220399475097654
40,0.25,0.8,9.475687408447266
40,0.25,0.6,9.61083984375
40,0.25,0.4,9.700941467285155
40,0.5,1.0,9.205382537841796
40,0.5,0.8,9.460670471191406
40,0.5,0.6,9.61083984375
40,0.5,0.4,9.685924530029297
120,0.1,1.0,9.205382537841796
120,0.1,0.8,9.445653533935547
120,0.1,0.6,9.59582290649414
120,0.1,0.4,9.685924530029297
120,0.25,1.0,9.205382537841796
120,0.25,0.8,9.445653533935547
120,0.25,0.6,9.59582290649414
120,0.25,0.4,9.670907592773437
120,0.5,1.0,9.190365600585936
120,0.5,0.8,9.445653533935547
120,0.5,0.6,9.58080596923828
120,0.5,0.4,9.670907592773437
350,0.1,1.0,9.295484161376953
350,0.1,0.8,9.520738220214845
350,0.1,0.6,9.655890655517577
350,0.1,0.4,9.745992279052734
350,0.25,1.0,9.280467224121093
350,0.25,0.8,9.520738220214845
350,0.25,0.6,9.670907592773437
350,0.25,0.4,9.745992279052734
350,0.5,1.0,9.265450286865233
350,0.5,0.8,9.520738220214845
350,0.5,0.6,9.655890655517577
350,0.5,0.4,9.745992279052734
