n,pv_share,lam,warm,adaptive,conv,k_out,k_in,t_ms,v_min
40,0.1,0.2,False,False,True,3,9,0.3372000064700842,1.0013242319929883
40,0.1,0.2,False,True,True,3,5,0.23579993285238743,1.0013242158927096
40,0.1,0.2,True,False,True,3,8,0.2762000076472759,1.0013242312713584
40,0.1,0.2,True,True,True,3,5,0.2628999063745141,1.0013242709060517
40,0.1,0.7538461538461538,False,False,True,3,12,0.3401999128982425,0.9901073550565754
40,0.1,0.7538461538461538,False,True,True,3,6,0.24990004021674395,0.9901075322866064
40,0.1,0.7538461538461538,True,False,True,3,9,0.2597999991849065,0.9901073548138098
40,0.1,0.7538461538461538,True,True,True,3,6,0.23900007363408804,0.9901078313830635
40,0.1,1.3076923076923077,False,False,True,3,12,0.33009995240718126,0.9732530759229008
40,0.1,1.3076923076923077,False,True,True,3,6,0.24660001508891582,0.9732548539144642
40,0.1,1.3076923076923077,True,False,True,3,10,0.2714000875130296,0.9732530866173997
40,0.1,1.3076923076923077,True,True,True,4,7,0.3152999561280012,0.9732530469364921
40,0.1,1.8615384615384616,False,False,True,3,15,0.3350999904796481,0.9558206040199675
40,0.1,1.8615384615384616,False,True,False,60,90,5.111800041049719,0.9580002863375844
40,0.1,1.8615384615384616,True,False,True,3,11,0.3869000356644392,0.9558206681813262
40,0.1,1.8615384615384616,True,True,True,4,7,0.4672000650316477,0.9558207799107331
40,0.1,2.4153846153846157,False,False,True,3,15,0.40929997339844704,0.9377482896483067
40,0.1,2.4153846153846157,False,True,False,60,90,6.274799932725728,0.9339015217018423
40,0.1,2.4153846153846157,True,False,True,3,11,0.3288000589236617,0.9377484682037746
40,0.1,2.4153846153846157,True,True,True,5,7,0.4412999842315912,0.9377492047708929
40,0.1,2.9692307692307693,False,False,True,3,18,0.4338999278843403,0.9189626864560012
40,0.1,2.9692307692307693,False,True,False,60,90,6.235699984245002,0.9125997904810137
40,0.1,2.9692307692307693,True,False,True,3,12,0.526399933733046,0.9189630447886569
40,0.1,2.9692307692307693,True,True,True,7,10,0.5468999734148383,0.9189624751671964
40,0.1,3.5230769230769234,False,False,True,3,21,0.5222000181674957,0.899375203029416
40,0.1,3.5230769230769234,False,True,False,60,90,4.50549996457994,0.8897549792417174
40,0.1,3.5230769230769234,True,False,True,3,14,0.3386000171303749,0.8993754557842265
40,0.1,3.5230769230769234,True,True,True,7,10,0.555400038138032,0.8993739709395182
40,0.1,4.0769230769230775,False,False,True,4,28,0.5248000379651785,0.8788746917489714
40,0.1,4.0769230769230775,False,True,False,60,90,4.896399914287031,0.8651793432262035
40,0.1,4.0769230769230775,True,False,True,4,16,0.38139999378472567,0.8788748096997482
40,0.1,4.0769230769230775,True,True,True,9,13,0.9986999211832881,0.8788749537355095
40,0.1,4.630769230769231,False,False,True,4,32,0.569900032132864,0.857326673722233
40,0.1,4.630769230769231,False,True,False,60,80,3.911999985575676,0.8371157502157388
40,0.1,4.630769230769231,True,False,True,4,19,0.3831000067293644,0.8573268662270849
40,0.1,4.630769230769231,True,True,True,9,13,1.0018999455496669,0.8573275756201697
40,0.1,5.184615384615385,False,False,True,5,40,0.7260000566020608,0.8345571054795089
40,0.1,5.184615384615385,False,True,False,60,80,4.243999952450395,0.8073949532752831
40,0.1,5.184615384615385,True,False,True,5,22,0.9328000014647841,0.8345569808327484
40,0.1,5.184615384615385,True,True,True,11,16,0.8166999323293567,0.8345568419624124
40,0.1,5.7384615384615385,False,False,True,5,45,0.6917000282555819,0.8103356344931653
40,0.1,5.7384615384615385,False,True,False,60,75,4.6654000179842114,0.7740888669859366
40,0.1,5.7384615384615385,True,False,True,5,25,0.4778999136760831,0.8103353531926516
40,0.1,5.7384615384615385,True,True,True,11,16,0.7645000005140901,0.8103346918924192
40,0.1,6.292307692307693,False,False,True,6,60,0.8070999756455421,0.7843504631337691
40,0.1,6.292307692307693,False,True,True,7,7,0.44329999946057796,0.787225935522565
40,0.1,6.292307692307693,True,False,True,5,29,0.494200037792325,0.7843515235659364
40,0.1,6.292307692307693,True,True,True,13,19,0.8805999532341957,0.7843509120099299
40,0.1,6.846153846153847,False,False,True,6,66,1.5909000067040324,0.7561606449274173
